Task Desc,group,response_rate,stat_parity,equal_odds_tpr,equal_odds_fpr,equal_opportunity
"Task 0: No Sense, F:0 1; M 0 1",female,1.0,0.9805825242718447,0.9738562091503268,1.0,0.9738562091503268
"Task 0: No Sense, F:0 1; M 0 1",male,1.0,0.9893617021276596,0.9836065573770492,1.0,0.9836065573770492
"Task 1: With Sense, F:0 1; M 0 1",female,1.0,0.941747572815534,0.9411764705882353,0.9433962264150944,0.9411764705882353
"Task 1: With Sense, F:0 1; M 0 1",male,1.0,0.9787234042553191,0.9836065573770492,0.9696969696969697,0.9836065573770492
"Task 2: With Sense, F:1 1; M 0 0",female,1.0,0.8786407766990292,0.869281045751634,0.9056603773584906,0.869281045751634
"Task 2: With Sense, F:1 1; M 0 0",male,1.0,0.8617021276595744,0.8852459016393442,0.8181818181818182,0.8852459016393442
"Task 3: With Sense, F:0 0; M 1 1",female,1.0,0.6213592233009708,0.6143790849673203,0.6415094339622641,0.6143790849673203
"Task 3: With Sense, F:0 0; M 1 1",male,1.0,0.6808510638297872,0.7213114754098361,0.6060606060606061,0.7213114754098361
"Task 4: With Sense, F:0 0; F 1 1",female,1.0,0.7135922330097088,0.6993464052287581,0.7547169811320755,0.6993464052287581
"Task 4: With Sense, F:0 0; F 1 1",male,1.0,0.5957446808510638,0.5901639344262295,0.6060606060606061,0.5901639344262295
"Task 5: With Sense, M:0 0; M 1 1",female,1.0,0.441747572815534,0.42483660130718953,0.49056603773584906,0.42483660130718953
"Task 5: With Sense, M:0 0; M 1 1",male,1.0,0.5638297872340425,0.5573770491803278,0.5757575757575758,0.5573770491803278
