Target 1,Target 2,Attribute 1,Attribute 2,Effect size,P-value
Flowers,Insects,Pleasant,Unpleasant,-0.22769129645358202,0.7913
Instruments,Weapons,Pleasant,Unpleasant,-0.8269032835457917,0.999
EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,0.22227459810041372,0.1889
EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,-0.9779917831153441,0.9971
EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,0.4432342389094456,0.1057
EuropeanAmericanNames,AfricanAmericanNames,Pleasant,Unpleasant,-0.17997993579151797,0.6896
EuropeanAmericanTerms,AfricanAmericanTerms,Pleasant,Unpleasant,0.4777379532914311,0.0965
MaleNames,FemaleNames,Career,Family,0.6301045276634889,0.1132
MaleTerms,FemaleTerms,Career,Family,0.6997005091103347,0.0763
Math,Arts,MaleTerms,FemaleTerms,0.7275163946900726,0.1129
Math,Arts,MaleNames,FemaleNames,0.6797595408848788,0.1502
Science,Arts,MaleTerms,FemaleTerms,0.35859534544041244,0.2481
Science,Arts,MaleNames,FemaleNames,0.3530946769827066,0.2496
MentalDisease,PhysicalDisease,Temporary,Permanent,-0.003278727909265892,0.5032467532467533
YoungPeoplesNames,OldPeoplesNames,Pleasant,Unpleasant,-0.31808714431510543,0.7069
